id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,source,deadline_missed
415,415,1,2,87,8,743,58,43,148,16,105,3,synthetic,0
416,416,3,1,86,16,4790,182,250,364,21,315,2,synthetic,0
417,417,4,1,84,2,639,67,57,135,22,115,3,synthetic,1
418,418,0,1,87,9,3822,118,100,172,19,142,2,synthetic,0
419,419,1,2,85,12,3158,157,52,217,29,199,2,synthetic,1
420,420,1,3,84,13,1284,267,45,284,31,253,1,synthetic,0
421,421,1,1,85,5,6678,84,94,191,18,142,1,synthetic,1
422,422,3,3,85,10,2611,54,119,229,25,192,2,synthetic,0
423,423,4,1,85,25,11700,634,114,707,46,711,1,synthetic,1
424,424,3,3,85,18,7353,68,103,181,31,163,2,synthetic,0
425,425,4,1,84,12,1643,173,59,241,23,242,1,synthetic,1
426,426,4,4,85,13,5892,108,219,429,39,404,1,synthetic,1
427,427,3,1,85,13,6993,60,91,147,27,117,2,synthetic,0
428,428,3,3,85,9,2328,228,185,398,24,338,3,synthetic,0
429,429,2,2,86,14,1597,291,58,314,22,279,1,synthetic,0
430,430,0,4,85,9,3716,298,53,292,23,257,2,synthetic,0
431,431,-1,1,85,5,2918,160,43,175,23,131,2,synthetic,1
432,432,4,3,85,2,661,29,20,73,21,63,1,synthetic,1
433,433,3,2,87,13,3575,104,50,140,25,117,1,synthetic,1
434,434,2,2,85,5,3288,58,142,167,19,114,1,synthetic,0
435,435,1,4,87,13,7393,279,74,308,23,318,1,synthetic,1
436,436,1,3,83,14,14287,208,288,656,28,590,1,synthetic,1
437,437,0,3,85,3,767,91,40,142,18,114,1,synthetic,1
438,438,1,1,86,5,3795,197,93,325,20,302,1,synthetic,1
439,439,4,4,85,35,3715,155,112,309,15,297,2,synthetic,0
440,440,4,4,86,14,2847,85,239,319,24,304,2,synthetic,0
441,441,0,0,85,21,3660,226,157,343,26,328,2,synthetic,1
442,442,2,7,86,5,3309,95,132,283,15,222,1,synthetic,0
443,443,0,2,88,10,4407,294,118,463,20,337,2,synthetic,0
444,444,4,4,86,12,3572,82,224,309,37,330,2,synthetic,0
445,445,1,3,85,13,4325,102,197,321,15,311,1,synthetic,0
446,446,4,4,86,12,6442,101,136,216,41,198,3,synthetic,1
447,447,4,3,84,11,2827,102,199,248,40,262,2,synthetic,1
448,448,1,0,87,20,3737,102,233,330,14,309,2,synthetic,1
449,449,1,4,86,17,8014,283,317,660,19,554,2,synthetic,1
450,450,4,3,86,10,5115,134,74,266,47,326,1,synthetic,1
451,451,1,0,85,9,7897,240,113,323,25,329,1,synthetic,1
452,452,4,1,85,24,14652,552,89,421,39,473,1,synthetic,0
453,453,4,4,86,12,2380,236,50,309,28,317,1,synthetic,0
454,454,4,3,88,9,2453,147,87,247,28,199,1,synthetic,0
455,455,-1,1,86,4,681,32,21,73,6,62,3,synthetic,0
456,456,1,3,85,12,4196,155,55,274,42,260,1,synthetic,0
457,457,1,1,88,5,2896,73,238,304,26,299,3,synthetic,0
458,458,4,3,85,6,3171,183,92,212,28,201,2,synthetic,1
459,459,2,4,85,5,2658,257,219,471,32,446,1,synthetic,1
460,460,2,3,86,13,772,171,55,223,37,205,1,synthetic,0
461,461,1,4,87,6,1614,99,105,231,6,158,1,synthetic,0
462,462,1,2,86,12,4505,64,221,269,38,282,3,synthetic,1
463,463,4,4,86,25,11709,229,386,862,38,715,2,synthetic,1
464,464,0,2,86,9,2506,138,167,390,13,314,1,synthetic,1
465,465,1,1,87,6,2263,56,74,126,5,108,3,synthetic,0
466,466,4,3,85,12,2277,296,196,539,40,616,2,synthetic,1
467,467,0,1,86,9,2468,126,67,194,25,157,1,synthetic,1
468,468,1,0,86,14,1539,261,117,395,6,284,2,synthetic,1
469,469,2,1,86,6,8032,228,65,220,34,211,2,synthetic,1
470,470,3,2,86,13,15478,384,179,518,38,624,1,synthetic,1
471,471,1,2,85,9,2403,54,112,166,25,136,2,synthetic,0
472,472,4,2,85,27,3430,233,144,405,34,441,1,synthetic,0
473,473,-1,1,86,1,557,126,15,96,14,80,1,synthetic,0
474,474,0,0,85,16,17435,292,109,496,50,583,1,synthetic,1
475,475,1,2,82,8,3742,312,113,390,38,433,3,synthetic,1
476,476,4,4,85,6,2390,79,42,120,42,109,2,synthetic,0
477,477,2,4,85,12,3749,70,123,189,6,139,1,synthetic,0
478,478,4,4,86,11,8422,232,244,507,48,570,1,synthetic,1
479,479,2,1,85,13,2921,86,51,134,41,150,1,synthetic,0
480,480,4,2,82,13,2463,80,55,175,23,168,2,synthetic,0
481,481,3,7,87,5,3935,227,49,282,34,285,1,synthetic,1
482,482,1,1,85,28,9455,428,107,436,40,442,2,synthetic,1
483,483,1,3,85,10,3182,171,128,369,19,315,3,synthetic,0
484,484,4,4,86,5,2711,34,101,157,13,106,2,synthetic,0
485,485,4,1,86,6,4002,90,87,204,35,206,1,synthetic,1
486,486,2,3,87,9,4222,118,98,195,28,165,1,synthetic,1
487,487,1,2,87,9,5760,127,136,290,31,324,1,synthetic,1
488,488,2,3,86,11,832,115,177,299,14,251,2,synthetic,0
489,489,3,4,87,5,3165,174,76,255,36,278,2,synthetic,0
490,490,1,3,85,9,3285,147,80,280,23,232,1,synthetic,1
491,491,1,3,86,19,9754,141,381,684,39,634,1,synthetic,1
492,492,3,4,86,23,14933,476,184,566,38,675,3,synthetic,1
493,493,2,4,84,23,3923,129,121,321,18,303,1,synthetic,0
494,494,3,3,87,5,710,83,12,101,17,99,1,synthetic,0
495,495,4,4,86,12,9295,480,62,282,36,312,2,synthetic,1
496,496,3,4,86,5,584,114,31,96,19,89,1,synthetic,1
497,497,2,2,85,9,2901,59,56,140,27,113,2,synthetic,0
498,498,1,1,87,3,1237,167,18,92,26,107,2,synthetic,1
499,499,1,1,86,3,1416,242,47,220,32,206,2,synthetic,1
500,500,1,3,86,13,3784,84,225,325,17,295,1,synthetic,1
501,501,1,1,87,5,658,98,15,89,6,68,1,synthetic,0
502,502,2,2,86,5,800,111,38,148,13,111,1,synthetic,0
503,503,4,4,86,10,3902,119,124,261,29,252,1,synthetic,1
504,504,1,0,86,4,596,35,42,77,19,63,3,synthetic,0
505,505,0,2,87,13,2267,193,52,250,6,148,2,synthetic,0
506,506,1,2,84,8,1433,81,73,176,23,130,1,synthetic,1
507,507,4,1,85,12,11159,265,151,405,51,421,3,synthetic,1
508,508,1,1,87,17,8786,125,130,250,23,272,2,synthetic,1
509,509,0,4,86,14,9656,180,144,280,25,265,1,synthetic,1
510,510,4,2,85,9,3413,58,140,178,28,138,1,synthetic,0
511,511,1,2,86,8,2534,77,97,242,23,210,1,synthetic,0
512,512,0,2,85,4,640,51,78,146,14,93,3,synthetic,0
513,513,2,3,86,12,1093,67,59,146,5,99,1,synthetic,0
514,514,2,4,85,17,7817,121,56,182,38,215,3,synthetic,0
515,515,4,4,85,13,3446,141,275,375,40,361,1,synthetic,1
516,516,4,1,85,14,3737,64,143,250,20,204,2,synthetic,1
517,517,2,3,86,13,9138,197,353,578,31,547,1,synthetic,1
518,518,2,2,85,15,7529,102,193,303,40,356,3,synthetic,0
519,519,4,3,83,14,11073,95,166,250,34,287,3,synthetic,1
520,520,1,-1,86,6,4970,177,112,301,25,277,1,synthetic,1
521,521,1,4,85,13,3032,124,111,256,29,213,2,synthetic,1
522,522,1,4,86,12,5125,117,155,318,6,275,2,synthetic,0
523,523,4,3,84,6,3337,111,106,242,35,276,3,synthetic,1
524,524,3,1,87,21,19272,886,114,822,35,833,1,synthetic,1
525,525,1,4,87,6,672,71,22,92,5,68,1,synthetic,0
526,526,0,1,88,18,8571,145,135,307,30,292,2,synthetic,0
527,527,3,-1,86,6,2418,145,63,169,24,149,2,synthetic,1
528,528,2,1,86,7,4094,102,102,324,15,218,1,synthetic,0
529,529,4,2,87,10,2359,100,186,316,34,313,2,synthetic,1
530,530,1,-1,86,4,4137,157,55,231,29,198,1,synthetic,1
531,531,4,1,86,12,8979,133,224,518,35,513,2,synthetic,0
532,532,1,3,86,12,4476,87,129,293,26,317,1,synthetic,0
533,533,2,4,83,11,2414,165,51,187,23,168,1,synthetic,1
534,534,1,4,85,13,2654,65,97,172,19,124,1,synthetic,0
535,535,0,1,86,6,3757,85,214,245,34,211,1,synthetic,0
536,536,4,4,84,22,5555,104,313,392,32,420,1,synthetic,0
537,537,1,3,86,7,2482,116,38,119,34,113,1,synthetic,1
538,538,2,3,86,9,6710,146,141,358,25,349,1,synthetic,1
539,539,0,4,86,7,2346,43,59,103,6,88,1,synthetic,1
540,540,4,4,85,13,2503,76,257,306,37,297,2,synthetic,1
541,541,2,4,86,23,5661,175,158,396,35,391,1,synthetic,0
542,542,3,4,86,14,5562,73,44,136,23,111,1,synthetic,1
543,543,3,3,88,17,6615,137,294,410,34,383,2,synthetic,0
544,544,1,2,85,9,4139,133,43,160,34,147,3,synthetic,1
545,545,2,4,86,6,727,79,44,113,14,100,2,synthetic,0
546,546,2,3,87,27,7190,317,123,399,27,366,1,synthetic,0
547,547,3,7,85,8,2413,119,113,256,33,207,2,synthetic,0
548,548,-1,0,88,12,2010,21,130,121,6,86,3,synthetic,1
549,549,1,2,86,6,3422,18,62,81,16,64,1,synthetic,0
550,550,4,0,83,9,6118,468,74,419,26,338,3,synthetic,1
551,551,4,3,85,23,3321,225,277,564,33,584,1,synthetic,0
552,552,0,4,87,6,3373,59,49,136,14,102,1,synthetic,1
553,553,2,0,87,14,3855,245,99,294,35,310,1,synthetic,0
554,554,3,3,86,18,7663,210,91,334,40,331,2,synthetic,1
555,555,4,4,87,7,5320,113,183,282,35,309,1,synthetic,1
556,556,3,0,86,5,4053,93,58,145,26,111,1,synthetic,1
557,557,2,1,84,5,2481,124,187,279,36,287,1,synthetic,0
558,558,1,3,85,7,3344,280,99,413,26,345,1,synthetic,0
559,559,2,4,86,4,701,75,36,100,14,80,1,synthetic,0
560,560,1,3,86,4,611,44,55,108,6,84,1,synthetic,0
561,561,0,2,86,11,2700,273,43,289,25,267,1,synthetic,1
562,562,2,3,86,20,3764,117,209,323,34,318,3,synthetic,0
563,563,1,4,88,5,3148,128,99,228,14,181,1,synthetic,1
564,564,0,1,87,12,4772,563,141,597,34,579,1,synthetic,0
565,565,0,0,87,5,601,74,37,94,18,83,1,synthetic,0
566,566,3,2,85,13,7828,231,93,332,42,357,1,synthetic,1
567,567,4,3,86,12,3159,157,42,163,25,142,1,synthetic,0
568,568,4,4,86,3,4101,121,56,177,35,151,1,synthetic,1
569,569,2,2,86,8,2178,45,87,152,26,134,2,synthetic,0
570,570,3,2,87,16,2490,81,53,177,34,181,1,synthetic,0
571,571,4,2,86,13,4545,244,116,315,38,344,1,synthetic,0
572,572,1,2,86,5,576,72,42,112,5,92,1,synthetic,0
573,573,-1,3,87,4,3690,231,43,173,26,145,2,synthetic,1
574,574,2,2,84,4,582,61,32,81,23,72,2,synthetic,0
575,575,2,2,86,12,2444,151,94,283,6,220,1,synthetic,1
576,576,1,2,83,12,10192,169,127,342,33,354,1,synthetic,1
577,577,3,1,87,4,622,101,75,242,30,241,3,synthetic,0
578,578,1,1,86,13,6520,198,155,408,41,457,1,synthetic,0
579,579,3,4,87,15,3700,254,48,301,18,288,1,synthetic,0
580,580,1,3,86,9,958,130,43,188,18,151,1,synthetic,0
581,581,1,1,84,6,3989,328,49,339,14,300,2,synthetic,1
582,582,1,0,86,3,2301,77,61,158,27,132,3,synthetic,0
583,583,2,1,85,16,3994,108,105,212,25,195,3,synthetic,0
584,584,3,1,86,8,5673,184,319,640,42,610,2,synthetic,1
585,585,4,3,87,8,3191,224,110,316,38,300,1,synthetic,0
586,586,3,2,86,9,5155,84,330,314,24,257,1,synthetic,0
587,587,3,3,86,11,4492,136,218,427,39,437,1,synthetic,1
588,588,2,2,86,5,2839,81,104,172,40,157,3,synthetic,0
589,589,3,4,86,8,4187,70,266,273,23,246,2,synthetic,0
590,590,4,2,85,6,2518,59,225,213,36,214,1,synthetic,1
591,591,1,2,88,13,3789,306,163,632,24,504,1,synthetic,1
592,592,1,3,85,12,841,112,66,183,28,173,1,synthetic,0
593,593,4,3,87,18,16181,501,123,623,37,671,3,synthetic,0
594,594,4,2,85,11,930,207,44,222,27,213,1,synthetic,0
595,595,-1,1,87,6,2050,333,36,248,25,251,1,synthetic,1
596,596,1,1,87,15,7891,90,134,244,36,237,1,synthetic,0
597,597,-1,1,85,4,546,9,48,74,5,64,1,synthetic,1
598,598,3,4,86,5,2337,40,79,111,26,111,3,synthetic,0
599,599,3,4,86,37,9281,168,253,442,43,422,3,synthetic,1
600,600,1,1,86,13,4020,120,253,329,28,332,3,synthetic,1
601,601,0,2,86,5,2984,66,114,210,27,198,2,synthetic,1
602,602,2,1,87,22,4383,119,194,287,18,239,1,synthetic,0
603,603,1,2,86,12,7156,242,107,330,34,372,2,synthetic,1
604,604,2,2,86,5,769,123,54,192,20,197,1,synthetic,0
605,605,1,4,87,10,2600,186,97,319,26,279,2,synthetic,0
606,606,4,6,87,22,7843,314,234,595,34,683,1,synthetic,0
607,607,-1,1,85,5,5287,164,39,188,14,131,2,synthetic,1
608,608,3,4,88,7,2702,50,135,185,27,159,1,synthetic,1
609,609,3,4,85,10,3720,74,72,162,35,152,1,synthetic,0
610,610,2,2,85,6,3329,55,174,191,30,167,2,synthetic,0
611,611,4,4,87,13,2552,162,51,222,34,209,3,synthetic,1
612,612,2,1,87,13,5099,45,229,223,38,192,1,synthetic,0
613,613,-1,1,86,8,817,64,229,245,14,191,1,synthetic,0
614,614,-1,1,87,6,2322,112,73,190,7,135,3,synthetic,1
615,615,0,-1,86,10,6053,174,47,166,30,136,2,synthetic,0
616,616,1,3,86,22,4623,315,44,303,21,297,1,synthetic,0
617,617,2,4,85,6,3322,101,90,200,17,168,2,synthetic,1
618,618,2,3,87,11,5958,328,60,359,24,317,1,synthetic,1
619,619,3,0,85,10,3141,79,182,254,24,231,1,synthetic,0
620,620,4,3,85,22,11145,67,176,229,33,185,3,synthetic,1
621,621,4,4,83,14,12360,738,265,1031,43,967,1,synthetic,1
622,622,1,1,87,6,838,79,30,95,19,87,1,synthetic,0
623,623,1,7,86,25,2927,224,93,287,6,237,1,synthetic,1
624,624,1,4,87,17,13667,162,254,495,26,411,1,synthetic,1
625,625,4,4,85,17,3647,81,107,196,16,187,1,synthetic,1
626,626,0,0,85,12,5907,155,59,187,26,182,1,synthetic,0
627,627,4,3,87,5,2814,70,61,159,36,160,1,synthetic,0
628,628,0,2,85,15,3903,451,186,685,32,674,1,synthetic,0
629,629,4,4,87,9,2773,128,47,175,37,158,1,synthetic,0
630,630,4,4,85,10,4778,144,232,436,19,434,1,synthetic,0
631,631,2,3,87,6,7900,285,72,272,34,305,2,synthetic,1
632,632,3,4,85,17,9513,297,91,342,43,378,2,synthetic,1
633,633,3,3,84,5,2472,114,48,156,19,131,1,synthetic,1
634,634,2,4,86,26,7190,145,54,170,14,140,2,synthetic,1
635,635,2,3,82,3,624,100,44,116,24,110,3,synthetic,0
636,636,2,3,86,12,15426,64,300,307,38,297,3,synthetic,1
637,637,2,4,88,38,23169,283,319,653,19,572,1,synthetic,0
638,638,4,1,83,17,9196,142,161,426,39,419,2,synthetic,1
639,639,2,3,87,9,660,298,46,252,21,232,1,synthetic,0
640,640,2,0,87,33,4874,120,112,344,27,325,1,synthetic,1
641,641,4,4,87,17,9183,801,387,1002,52,1063,1,synthetic,1
642,642,3,1,86,8,2553,167,120,268,33,285,1,synthetic,0
643,643,2,4,87,12,4940,145,60,185,34,203,1,synthetic,0
644,644,2,2,83,8,5647,132,52,204,29,189,2,synthetic,1
645,645,4,4,86,14,2578,116,135,231,29,204,2,synthetic,1
646,646,2,4,88,13,11089,113,193,335,23,310,1,synthetic,1
647,647,4,4,84,17,6732,120,66,187,23,177,1,synthetic,0
648,648,2,2,86,14,2794,95,111,271,28,262,1,synthetic,0
649,649,2,3,86,13,2513,135,43,170,20,181,1,synthetic,0
650,650,2,1,85,8,4219,359,58,275,41,298,3,synthetic,1
651,651,1,2,85,9,5291,98,111,219,30,209,2,synthetic,1
652,652,3,4,85,14,5708,65,163,259,35,235,3,synthetic,0
653,653,1,1,87,12,8403,160,241,406,32,367,2,synthetic,1
654,654,4,4,87,36,7191,319,127,434,35,454,1,synthetic,0
655,655,4,4,85,8,3600,33,125,139,35,132,1,synthetic,0
656,656,1,2,86,6,878,111,33,120,13,102,1,synthetic,0
657,657,4,2,87,4,1851,79,75,141,28,123,1,synthetic,1
658,658,4,0,86,8,3944,72,250,264,33,276,2,synthetic,0
659,659,1,-1,86,6,5380,120,62,212,29,179,1,synthetic,1
660,660,2,4,87,39,18186,726,192,691,37,683,1,synthetic,1
661,661,1,1,85,12,4529,213,120,329,26,311,2,synthetic,1
662,662,4,4,86,13,2517,680,42,333,36,357,2,synthetic,0
663,663,4,5,86,17,2761,127,121,424,9,319,1,synthetic,1
664,664,2,4,86,10,2202,198,109,360,24,304,2,synthetic,0
665,665,0,3,86,12,2154,103,55,141,11,109,1,synthetic,0
666,666,1,1,86,4,5635,227,48,252,36,286,1,synthetic,1
667,667,1,4,85,7,835,149,109,373,6,314,1,synthetic,0
668,668,1,4,86,4,674,45,46,103,20,94,1,synthetic,0
669,669,3,4,86,15,2496,288,61,359,40,388,2,synthetic,0
670,670,0,0,86,15,5279,213,176,433,32,446,1,synthetic,0
671,671,2,4,86,13,3872,298,96,334,23,327,2,synthetic,1
672,672,2,4,87,6,2593,77,71,142,21,113,3,synthetic,0
673,673,3,3,86,5,4053,125,105,257,28,245,1,synthetic,1
674,674,3,0,86,6,2787,132,128,243,27,242,2,synthetic,0
675,675,1,1,85,13,2330,206,35,166,23,148,1,synthetic,0
676,676,2,-1,86,3,1367,101,47,145,37,131,1,synthetic,1
677,677,4,1,87,5,689,66,44,114,23,101,2,synthetic,1
678,678,2,0,86,17,5839,145,332,408,24,348,2,synthetic,1
679,679,2,3,87,14,20821,76,370,367,31,305,1,synthetic,1
680,680,1,4,85,17,4495,447,50,297,7,220,3,synthetic,1
681,681,2,3,88,12,1603,194,79,304,6,236,1,synthetic,0
682,682,1,1,86,13,3977,102,111,168,35,185,3,synthetic,1
683,683,4,3,85,8,2249,174,51,230,26,187,1,synthetic,0
684,684,1,1,86,9,1640,204,51,242,33,250,1,synthetic,0
685,685,2,1,86,4,783,47,48,98,28,90,1,synthetic,0
686,686,2,4,86,13,4001,115,92,201,18,170,1,synthetic,1
687,687,2,1,86,25,11198,115,154,331,42,301,2,synthetic,1
688,688,4,4,86,9,2496,66,103,179,29,164,2,synthetic,0
689,689,1,-1,84,7,4184,170,72,248,40,269,1,synthetic,1
690,690,1,1,87,8,9004,164,128,310,38,358,1,synthetic,1
691,691,3,3,87,11,764,157,55,206,14,178,1,synthetic,0
692,692,1,4,84,8,10567,243,76,286,28,237,1,synthetic,1
693,693,4,4,86,17,5598,80,132,278,20,197,2,synthetic,0
694,694,2,2,88,11,5943,231,127,443,19,389,2,synthetic,1
695,695,3,1,87,4,1109,47,73,115,16,99,3,synthetic,0
696,696,4,4,87,11,3639,289,58,319,36,352,1,synthetic,0
697,697,4,3,87,11,2222,184,189,495,42,531,1,synthetic,0
698,698,2,0,86,25,14084,234,350,525,38,548,1,synthetic,1
699,699,3,3,86,5,2275,175,58,272,19,206,3,synthetic,0
700,700,1,3,86,9,5040,319,143,469,22,421,2,synthetic,1
701,701,1,1,87,9,1641,36,46,93,6,76,1,synthetic,0
702,702,4,4,85,35,14210,494,177,559,15,594,1,synthetic,1
703,703,4,3,86,10,2631,149,170,262,34,264,2,synthetic,0
704,704,2,4,88,8,3169,110,175,320,29,304,2,synthetic,1
705,705,1,4,87,11,5086,463,176,598,27,529,2,synthetic,1
706,706,2,2,88,12,3747,133,45,158,34,155,1,synthetic,0
707,707,2,3,85,17,3464,217,83,307,26,303,3,synthetic,0
708,708,1,3,87,33,3862,185,171,450,18,312,1,synthetic,0
709,709,4,4,86,5,1158,173,106,323,27,317,3,synthetic,0
710,710,2,4,87,6,1401,171,51,269,15,214,2,synthetic,1
711,711,1,2,83,4,929,37,77,107,6,90,2,synthetic,0
712,712,4,4,86,10,19111,86,253,343,49,396,2,synthetic,1
713,713,1,1,88,7,1618,105,43,121,32,108,1,synthetic,0
714,714,0,1,86,9,768,129,36,181,23,137,1,synthetic,0
715,715,1,2,86,12,4028,151,120,271,27,214,1,synthetic,1
716,716,4,4,86,7,8544,156,93,294,37,318,1,synthetic,1
717,717,1,3,86,8,3796,44,100,181,15,138,1,synthetic,0
718,718,1,1,85,2,823,68,38,103,24,96,1,synthetic,0
719,719,2,1,84,8,4304,317,60,301,34,314,2,synthetic,0
720,720,2,1,86,3,2316,66,61,124,17,103,1,synthetic,0
721,721,1,4,86,4,1410,48,79,126,11,98,2,synthetic,1
722,722,2,4,86,6,766,85,40,144,17,113,2,synthetic,0
723,723,0,4,85,9,3834,96,119,204,24,181,1,synthetic,0
724,724,2,4,85,5,1225,114,162,296,25,270,1,synthetic,1
725,725,4,1,86,11,2196,21,109,116,20,109,1,synthetic,0
726,726,4,4,85,18,3964,180,126,303,51,436,2,synthetic,1
727,727,2,-1,88,6,15342,177,280,469,42,550,2,synthetic,1
728,728,-1,2,84,5,2250,56,57,111,18,100,1,synthetic,1
729,729,4,3,87,4,2123,80,71,204,26,168,2,synthetic,1
730,730,1,3,85,11,2864,44,239,182,14,132,1,synthetic,1
731,731,1,-1,86,2,2006,53,216,188,16,150,2,synthetic,1
732,732,3,2,86,13,2785,63,42,93,18,85,1,synthetic,0
733,733,1,4,88,19,4377,71,119,185,15,141,2,synthetic,0
734,734,1,1,86,6,2714,130,43,227,17,148,3,synthetic,1
735,735,3,1,83,11,785,224,72,249,12,225,2,synthetic,0
736,736,1,1,86,2,802,58,50,100,6,85,1,synthetic,0
737,737,4,1,86,16,7887,366,125,346,36,408,1,synthetic,0
738,738,1,1,85,8,614,207,30,170,14,130,2,synthetic,1
739,739,3,3,87,6,4076,42,167,149,34,140,1,synthetic,0
740,740,3,3,85,4,784,99,49,185,29,151,1,synthetic,0
741,741,1,2,85,2,3108,120,122,184,38,224,2,synthetic,1
742,742,0,3,87,9,925,154,90,244,29,181,1,synthetic,0
743,743,0,1,87,8,2318,204,87,306,21,309,1,synthetic,1
744,744,1,4,86,6,8808,177,60,290,33,281,3,synthetic,1
745,745,4,4,84,9,5451,139,183,295,37,276,1,synthetic,1
746,746,4,4,88,15,7613,100,364,491,35,589,1,synthetic,1
747,747,1,1,85,8,4164,112,135,291,20,280,2,synthetic,1
748,748,4,4,83,23,3403,221,57,257,25,201,3,synthetic,0
749,749,1,2,85,14,3988,70,237,263,25,232,1,synthetic,0
750,750,2,4,86,14,2782,493,92,488,36,503,2,synthetic,0
751,751,3,7,84,13,2775,145,177,315,6,218,2,synthetic,0
752,752,0,1,82,10,2547,60,86,164,5,131,1,synthetic,1
753,753,4,4,85,23,22150,262,322,650,40,655,1,synthetic,0
754,754,0,0,87,16,12205,207,268,530,45,592,1,synthetic,1
755,755,4,7,87,19,5401,291,124,632,32,651,2,synthetic,1
756,756,1,4,83,15,3571,244,46,246,28,287,2,synthetic,1
757,757,1,0,84,5,823,175,84,275,33,287,1,synthetic,1
758,758,2,2,85,8,1029,119,51,198,21,162,2,synthetic,0
759,759,1,2,87,13,2485,144,93,239,17,207,2,synthetic,0
760,760,1,3,86,5,3728,483,42,320,25,311,1,synthetic,1
761,761,0,3,86,5,1978,59,100,141,24,118,2,synthetic,0
762,762,2,3,87,6,2923,288,45,304,40,284,1,synthetic,1
763,763,0,2,87,7,7966,188,73,227,39,200,3,synthetic,1
764,764,2,4,86,8,2808,121,124,294,24,292,1,synthetic,1
765,765,1,0,86,9,13947,122,108,228,40,253,2,synthetic,1
766,766,2,1,86,9,1391,117,97,207,8,161,2,synthetic,0
767,767,1,4,86,9,2862,174,49,236,20,183,1,synthetic,0
768,768,3,3,86,9,1485,283,102,411,23,320,2,synthetic,1
769,769,4,4,83,8,3794,228,100,399,44,404,2,synthetic,0
770,770,1,4,84,2,655,20,37,73,9,64,3,synthetic,0
771,771,1,4,86,31,3899,513,95,495,22,477,2,synthetic,1
772,772,4,4,87,9,1386,61,41,106,10,80,1,synthetic,0
773,773,4,4,85,12,3959,508,135,510,22,491,3,synthetic,1
774,774,4,2,85,12,3877,138,36,140,39,132,2,synthetic,0
775,775,2,1,87,12,4121,84,237,334,23,305,2,synthetic,0
776,776,3,4,85,4,3393,69,77,212,29,190,3,synthetic,1
777,777,-1,3,87,4,647,63,91,166,8,124,1,synthetic,0
778,778,1,3,86,10,6139,325,140,439,39,468,1,synthetic,1
779,779,1,1,85,9,5665,146,54,211,31,194,1,synthetic,1
780,780,4,4,86,9,2305,56,121,242,18,198,2,synthetic,0
781,781,4,4,86,15,2580,200,52,232,25,204,2,synthetic,1
782,782,2,0,85,15,13290,74,322,278,41,319,3,synthetic,1
783,783,2,3,87,18,3218,241,181,506,41,572,1,synthetic,0
784,784,4,3,85,22,8074,172,318,474,22,414,2,synthetic,0
785,785,3,4,87,12,9674,90,149,260,26,239,3,synthetic,1
786,786,4,3,86,12,4253,78,104,230,28,195,2,synthetic,0
787,787,2,2,85,18,3464,119,378,437,15,387,1,synthetic,0
788,788,0,1,86,26,3305,69,49,150,25,127,2,synthetic,0
789,789,4,4,86,35,8076,66,158,233,23,202,3,synthetic,0
790,790,4,4,87,13,8282,210,170,433,35,496,3,synthetic,1
791,791,0,1,86,8,4046,280,69,292,37,304,2,synthetic,1
792,792,0,1,86,3,736,46,55,104,6,92,3,synthetic,0
793,793,0,2,88,5,1616,129,75,277,19,226,1,synthetic,0
794,794,1,3,87,13,3833,58,147,223,15,145,1,synthetic,0
795,795,4,4,86,12,2135,71,174,257,18,213,3,synthetic,0
796,796,1,4,85,22,4215,154,40,148,10,111,1,synthetic,0
797,797,2,0,85,8,4234,183,38,164,19,143,1,synthetic,0
798,798,4,1,85,6,2318,24,118,104,32,96,1,synthetic,1
799,799,1,0,85,5,845,140,34,139,19,102,2,synthetic,1
800,800,2,4,83,5,3465,72,72,163,18,127,2,synthetic,1
801,801,2,3,86,2,547,68,42,106,15,90,1,synthetic,0
802,802,4,0,84,5,2526,137,224,379,19,316,3,synthetic,0
803,803,4,4,87,7,4210,180,56,269,40,335,3,synthetic,1
804,804,2,2,87,18,3027,212,51,297,26,301,1,synthetic,0
805,805,3,1,88,23,18285,489,144,582,44,601,1,synthetic,1
806,806,4,4,87,3,1464,54,53,99,34,102,2,synthetic,1
807,807,3,2,86,10,3907,85,151,280,39,291,2,synthetic,1
808,808,1,4,87,5,3308,85,44,162,6,103,1,synthetic,1
809,809,2,3,86,8,857,59,77,156,16,128,1,synthetic,0
810,810,3,1,87,8,1449,94,117,254,35,266,1,synthetic,0
811,811,4,3,87,28,8754,317,340,740,36,739,1,synthetic,1
812,812,2,1,86,32,7685,303,279,594,25,559,1,synthetic,1
813,813,0,1,86,9,2918,61,193,236,31,202,2,synthetic,0
814,814,1,3,85,8,1377,236,43,167,34,158,2,synthetic,0
815,815,1,0,84,20,3415,197,187,438,28,366,2,synthetic,0
816,816,1,2,86,6,2698,167,117,265,43,296,1,synthetic,1
817,817,2,4,86,36,4436,220,47,266,29,258,2,synthetic,1
818,818,1,-1,84,9,11438,136,179,288,38,293,1,synthetic,1
819,819,1,1,86,6,3616,59,72,143,14,117,1,synthetic,1
820,820,1,1,85,5,6212,192,50,273,35,263,2,synthetic,1
821,821,2,1,87,12,3287,450,41,339,31,330,2,synthetic,1
822,822,4,2,87,17,825,79,41,113,18,104,1,synthetic,0
823,823,4,4,86,8,3800,129,162,333,29,323,2,synthetic,1
824,824,1,1,82,8,3556,191,75,265,30,255,3,synthetic,1
